本週,上週,片名,上映日期,預告片,網友滿意度
1,1,玩命鈔劫,2021-07-13,預告片,4.2
2,,大鼻子情聖（英國國家劇院現場）,未定,,
3,,相信黎明的到來,2021-05-14,預告片,0
4,,死亡漩渦：奪魂鋸新遊戲,2021-07-13,預告片,3.3
5,,薄荷糖《4K 數位修復》,2021-08-06,預告片,0
6,2,當男人戀愛時,2021-04-01,預告片,3.8
7,10,魔戒三部曲：王者再臨《經典再現》,2021-04-29,預告片,4.4
8,14,魔戒首部曲：魔戒現身《經典再現》,2021-04-29,預告片,4.2
9,5,名偵探柯南 緋色的彈丸,2021-02-26,,3.8
10,3,聽見歌 再唱,2021-04-16,預告片,4.2
11,4,那些要我死的人,2021-05-06,預告片,3.6
12,6,父親,2021-04-23,預告片,4.6
13,7,操控,2021-05-07,預告片,2.9
14,,女畫家與偷畫賊,未定,預告片,0
15,19,永遠的我們,2021-05-07,預告片,3
16,,綠色牢籠,2021-05-14,預告片,4
17,,轉彎之後......,2021-07-14,預告片,3.9
18,,媽哩媽哩烘,2021-07-14,預告片,3.9
19,11,惡水真相,2021-05-07,預告片,4.5
20,12,夢想之地,2021-04-23,預告片,4.1
